Name, Count
10th Ave_California,3
10th Ave_Fulton,5
10th Ave_Geary,3
10th Ave_Lincoln,0
10th St_Brannan_Division_Potrero,3
10th St_Bryant_US-101 S On Ramp,4
10th St_Fell_Market_Polk,3
10th St_Folsom,4
10th St_Harrison,3
10th St_Howard,3
10th St_Mission,3
11th Ave_Geary,4
11th St_13th St_Bryant_Division,2
11th St_Folsom,3
11th St_Harrison,2
11th St_Howard,2
11th St_Mission,4
12th Ave_California,2
12th Ave_Geary,3
12th St_Folsom,2
12th St_Franklin_Market_Page,2
12th St_Howard,2
12th St_Mission_Otis_South Van Ness,12
12th St_Stevenson,0
13th St_Folsom,3
13th St_Frwy Exit_Duboce_Mission_Otis,3
13th St_Harrison,4
13th St_South Van Ness_US-101 S On Ramp,0
14th Ave_Portola_San Anselmo_Santa Ana,3
14th St_Castro,3
14th St_Church_Market,3
14th St_Dolores,3
14th St_Folsom,3
14th St_Guerrero,3
14th St_Mission,3
14th St_South Van Ness,4
14th St_Valencia,4
15th Ave_Geary,3
15th St_Castro,3
15th St_Church,2
15th St_Dolores,2
15th St_Folsom,3
15th St_Guerrero,3
15th St_Market_Sanchez,3
15th St_Mission,3
15th St_Potrero,3
15th St_South Van Ness,3
15th St_Valencia,4
16th Ave_Geary,3
16th St_Bryant,3
16th St_Capp,3
16th St_Church,2
16th St_Connecticut,3
16th St_De Haro,2
16th St_Dolores,4
16th St_Folsom,4
16th St_Guerrero,3
16th St_Harrison,4
16th St_Kansas,2
16th St_Market_Noe,3
16th St_Mission,3
16th St_Missouri,3
16th St_Owens,2
16th St_Potrero,3
16th St_Rhode Island,2
16th St_San Bruno,2
16th St_Sanchez,3
16th St_Shotwell,1
16th St_South Van Ness,2
16th St_Terry Francois Blvd,3
16th St_Utah,2
16th St_Valencia,4
16th St_Vermont,3
16th St_Wisconsin,2
17th Ave_Geary,3
17th Ave_Taraval,2
17th St near Corbin Pl,2
17th St_Bryant,2
17th St_Castro_Market,3
17th St_Church,2
17th St_Clayton,3
17th St_Dolores,3
17th St_Folsom,4
